,CGLSE,Uni
0.2,0.018403747,0.000243941
0.2,0.017904233,0.035986299
0.3,0.032423509,0.003620635
0.3,0.031142985,0.001463435
0.3,0.032952334,0.000317275
0.3,0.023270634,0.000624452
0.3,0.017862737,0.038068914
0.3,0.032393947,0.002246734
0.3,0.010137271,0.129129249
0.3,0.062588298,0.15240891
0.3,0.165686395,0.041253353
0.3,0.022270447,0.010102433
0.3,0.038100965,0.432411648
0.3,0.032038678,0.000818503
0.3,0.017152613,0.006078496
0.3,0.028479451,0.036535773
0.3,0.186847226,0.039476671
0.3,0.018627071,0.154541489
0.3,0.026329113,0.003952808
0.3,0.027364244,0.021766613
0.3,0.000992335,0.087582971
0.3,0.032544766,0.003155535
0.3,0.031710904,0.000986584
0.3,0.030942275,0.00714917
0.3,0.023357137,0.000630026
0.3,0.031274764,0.000334787
0.3,0.018927351,0.027607684
0.3,0.131299883,0.109435598
0.3,0.028913846,0.001658403
0.3,0.029417774,0.000285009
0.3,0.006672209,0.004249935
0.3,0.038051143,0.070846619
0.3,0.118638819,0.042058491
0.3,0.029250089,0.00062942
0.3,0.015216486,0.000863713
0.3,0.026156018,0.009157053
0.3,0.030063198,0.002838945
0.3,0.032818493,0.00173842
0.3,0.031813267,0.001104663
0.3,0.032916273,0.005262223
0.3,0.027832457,0.007982945
0.3,0.016508188,0.113857866
0.3,0.050128425,0.014869513
0.3,0.006245458,0.005896387
0.3,0.022683977,0.008888785
0.3,0.081202838,0.041188651
0.3,0.032853169,0.001156177
0.3,0.050138092,0.154899971
0.3,0.049529468,0.162650486
0.3,0.024265602,0.014234141
0.3,0.032637763,0.000625911
0.3,0.017219448,0.006652656
0.3,0.176923356,0.05563151
0.3,0.044602735,0.465163896
0.3,0.028638066,0.002421761
0.3,0.009462959,0.022347432
0.3,0.026183934,0.000606789
0.3,0.014851876,0.230246528
0.3,0.020430698,0.012116526
0.3,0.032978091,0.001325053
0.3,0.027276492,0.005918753
0.3,0.020962799,0.024732969
0.3,0.134995619,0.038637211
0.3,0.031218439,0.001557717
0.3,0.143925781,0.065886511
0.3,0.037183679,0.021998946
0.3,0.00449024,0.082713311
0.3,0.02303509,0.029950377
0.3,0.029792868,0.001943132
0.3,0.012091656,0.020465763
0.3,0.05752834,0.026914765
0.3,0.015298335,0.007475763
0.3,0.03193554,0.001526295
0.3,0.031324561,0.001171133
0.3,0.034182503,0.002583294
0.3,0.03163551,0.001997178
0.3,0.024359594,0.005610028
0.3,0.001069722,0.218536367
0.3,0.004774209,0.009862236
0.3,0.104654698,0.053182798
0.3,0.167878295,0.055773661
0.3,0.037351647,0.6983489
0.3,0.038348785,0.032030831
0.3,0.03286895,0.001258565
0.3,0.005462076,0.346246417
0.3,0.023667656,0.015842396
0.3,0.032586772,0.003152252
0.3,0.009368548,0.155357811
0.3,0.033397598,0.016828584
0.3,0.032409948,0.000896945
0.3,0.014480321,0.063519913
0.3,0.031375098,0.00572859
0.3,0.031681639,0.000509799
0.3,0.031685177,0.000998249
0.3,0.065007124,0.02303618
0.3,0.021905785,0.001929954
0.3,0.001285058,0.007367216
0.3,0.034460529,0.002431486
0.3,0.007735871,0.111530104
0.3,0.050771718,0.017094956
0.3,0.032516611,0.000616054
0.3,0.041930469,0.238035383
0.4,0.00616068,0.003758796
0.4,0.005826063,0.0020986
0.4,0.006353561,0.000334597
0.4,0.00608487,0.001323412
0.4,0.0441406,0.14368074
0.4,0.005761533,0.002980331
0.4,0.113754172,0.377773905
0.4,0.075634498,0.187641479
0.4,0.000908706,0.05838889
